Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,382.583,400.357,378.68,399.927,399.927,103931400
2022-01-04,396.517,402.667,374.35,383.197,383.197,100248300
2022-01-05,382.217,390.113,360.337,362.707,362.707,80119800
2022-01-06,359.0,362.667,340.167,354.9,354.9,90336600
2022-01-07,360.123,360.31,336.667,342.32,342.32,84164700
2022-01-10,333.333,353.033,326.667,352.707,352.707,91815000
2022-01-11,351.223,358.617,346.273,354.8,354.8,66063300
2022-01-12,359.617,371.613,357.53,368.74,368.74,83739000
2022-01-13,369.69,371.867,342.18,343.853,343.853,97209900
2022-01-14,339.96,350.667,337.793,349.87,349.87,72924300
2022-01-18,342.203,356.93,338.687,343.503,343.503,66743400
2022-01-19,347.237,351.557,331.667,331.883,331.883,75442500
2022-01-20,336.577,347.22,331.333,332.09,332.09,70488600
2022-01-21,332.113,334.85,313.5,314.633,314.633,103416000
2022-01-24,301.587,311.17,283.823,310.0,310.0,151565700
2022-01-25,304.733,317.087,301.07,306.133,306.133,86595900
2022-01-26,317.477,329.23,302.0,312.47,312.47,104867400
2022-01-27,311.12,311.797,276.333,276.367,276.367,147109500
2022-01-28,277.187,285.833,264.003,282.117,282.117,134789100
2022-01-31,290.903,312.663,287.35,312.24,312.24,104436000
2022-02-01,311.737,314.567,301.667,310.417,310.417,73138200
2022-02-02,309.393,310.5,296.47,301.887,301.887,66792900
2022-02-03,294.0,312.333,293.507,297.047,297.047,78855600
2022-02-04,299.073,312.167,293.723,307.773,307.773,73625400
2022-02-07,307.93,315.923,300.903,302.447,302.447,60994500
2022-02-08,301.843,308.763,298.267,307.333,307.333,50729100
2022-02-09,311.667,315.423,306.667,310.667,310.667,52259400
2022-02-10,302.79,314.603,298.9,301.517,301.517,66126900
2022-02-11,303.21,305.32,283.567,286.667,286.667,79645800
2022-02-14,287.19,299.627,284.383,291.92,291.92,67756500
2022-02-15,300.0,307.667,297.793,307.477,307.477,57286200
2022-02-16,304.683,308.81,300.403,307.797,307.797,51294300
2022-02-17,304.42,306.167,291.367,292.117,292.117,55178400
2022-02-18,295.333,295.623,279.203,285.66,285.66,68501700
2022-02-22,278.043,285.577,267.033,273.843,273.843,83288100
2022-02-23,276.81,278.433,253.52,254.68,254.68,95256900
2022-02-24,233.463,267.493,233.333,266.923,266.923,135322200
2022-02-25,269.743,273.167,260.8,269.957,269.957,76067700
2022-02-28,271.67,292.287,271.57,290.143,290.143,99006900
2022-03-01,289.893,296.627,284.593,288.123,288.123,74766900
2022-03-02,290.71,295.493,281.423,293.297,293.297,74643300
2022-03-03,292.923,295.48,277.533,279.763,279.763,61623600
2022-03-04,283.033,285.217,275.053,279.43,279.43,66999600
2022-03-07,285.433,288.713,268.19,268.193,268.193,72494100
2022-03-08,265.177,283.33,260.723,274.8,274.8,80399100
2022-03-09,279.827,286.853,277.337,286.323,286.323,59184000
2022-03-10,283.817,284.817,270.12,279.433,279.433,58648500
2022-03-11,280.067,281.267,264.59,265.117,265.117,67037100
2022-03-14,260.203,266.9,252.013,255.457,255.457,71152200
2022-03-15,258.423,268.523,252.19,267.297,267.297,66841200
2022-03-16,269.667,280.667,267.42,280.077,280.077,84028800
2022-03-17,276.997,291.667,275.24,290.533,290.533,66582900
2022-03-18,291.497,302.617,289.13,301.797,301.797,100414200
2022-03-21,304.993,314.283,302.363,307.053,307.053,81981600
2022-03-22,310.0,332.62,307.25,331.327,331.327,105868500
2022-03-23,326.647,346.9,325.467,333.037,333.037,120676200
2022-03-24,336.577,341.497,329.6,337.973,337.973,68920800
2022-03-25,336.0,340.6,332.44,336.88,336.88,62031600
2022-03-28,355.033,365.96,351.2,363.947,363.947,102506100
2022-03-29,369.33,371.59,357.703,366.523,366.523,73614900
2022-03-30,363.723,371.317,361.333,364.663,364.663,59865000
2022-03-31,364.857,367.713,358.88,359.2,359.2,48992700
