Date,Open,High,Low,Close,Adj Close,Volume
2023-09-01,35.79,36.75,35.73,36.61,36.49,43782600
2023-09-05,36.58,37.41,36.46,36.71,36.59,43379400
2023-09-06,36.56,37.04,36.03,36.98,36.859,39643400
2023-09-07,36.83,38.34,36.75,38.18,38.055,67659700
2023-09-08,38.12,38.83,37.71,38.01,37.885,44255200
2023-09-11,38.24,38.74,37.84,38.59,38.464,36349300
2023-09-12,38.65,40.07,38.65,38.86,38.733,55326600
2023-09-13,38.8,39.15,38.25,38.71,38.583,35407800
2023-09-14,38.81,38.9,38.3,38.67,38.543,30616500
2023-09-15,38.42,38.52,37.62,37.88,37.756,68868800
2023-09-18,37.62,38.39,37.51,37.99,37.865,29322200
2023-09-19,38.04,38.1,36.02,36.34,36.221,53288100
2023-09-20,36.22,36.25,34.63,34.69,34.576,57660800
2023-09-21,34.57,35.25,34.46,34.65,34.536,45215900
2023-09-22,34.81,34.89,34.14,34.18,34.068,29232700
2023-09-25,34.0,34.37,33.77,34.29,34.178,21729400
2023-09-26,34.14,34.78,33.64,33.83,33.719,34198300
2023-09-27,33.92,34.83,33.88,34.61,34.497,44369100
2023-09-28,34.65,35.66,34.38,35.18,35.065,32265300
2023-09-29,35.65,35.91,35.16,35.55,35.433,28758500
2023-10-02,35.61,35.98,34.98,35.46,35.344,26086200
2023-10-03,35.27,36.54,35.27,35.69,35.573,45292600
2023-10-04,36.52,36.52,35.33,35.93,35.812,39842200
2023-10-05,35.97,36.1,35.6,35.89,35.772,25771200
2023-10-06,35.87,36.46,35.18,36.19,36.071,33252300
2023-10-09,35.7,36.17,35.5,36.06,35.942,19376100
2023-10-10,36.14,36.74,35.81,36.43,36.311,24044100
2023-10-11,36.62,37.03,36.38,36.88,36.759,19262600
2023-10-12,36.8,37.22,36.39,36.84,36.719,23639200
2023-10-13,36.74,36.79,35.86,35.97,35.852,28390100
2023-10-16,36.14,36.94,36.08,36.56,36.44,29555800
2023-10-17,35.92,36.35,35.07,36.06,35.942,24993600
2023-10-18,35.52,36.02,35.45,35.64,35.523,22086000
2023-10-19,35.96,36.36,35.52,35.67,35.553,29201800
2023-10-20,35.65,36.28,34.87,34.92,34.806,32291800
2023-10-23,34.6,35.19,33.39,33.85,33.739,53924700
2023-10-24,33.64,34.71,33.64,34.59,34.477,52673900
2023-10-25,34.18,34.45,32.55,32.83,32.722,44658500
2023-10-26,32.89,33.22,32.15,32.52,32.413,59142500
2023-10-27,34.66,36.38,34.6,35.54,35.424,84128200
2023-10-30,35.47,35.96,34.92,35.69,35.573,36656300
2023-10-31,35.66,36.57,35.62,36.5,36.38,41185200
2023-11-01,36.5,37.32,36.28,37.29,37.168,41710700
2023-11-02,37.58,37.82,36.91,37.7,37.576,35440000
2023-11-03,38.0,38.32,37.67,38.14,38.015,30493400
2023-11-06,38.02,38.2,37.85,37.95,37.95,23877200
2023-11-07,38.24,38.9,37.98,38.77,38.77,32052000
2023-11-08,38.85,38.89,37.75,37.92,37.92,33483400
2023-11-09,38.05,38.52,37.77,37.8,37.8,48955800
2023-11-10,38.24,38.99,38.24,38.86,38.86,38862500
2023-11-13,38.35,38.57,38.14,38.23,38.23,24558300
2023-11-14,38.8,39.49,38.07,39.41,39.41,45457400
2023-11-15,39.59,40.84,39.58,40.61,40.61,47392100
2023-11-16,41.0,43.4,40.82,43.35,43.35,86405700
2023-11-17,42.91,43.81,42.56,43.81,43.81,49735000
2023-11-20,43.78,44.93,43.78,44.74,44.74,44564900
2023-11-21,44.5,44.66,43.3,43.64,43.64,37252100
2023-11-22,44.03,44.63,43.54,43.67,43.67,31481200
2023-11-24,43.68,44.0,43.61,43.96,43.96,13037100
2023-11-27,43.65,44.55,43.65,44.08,44.08,33339900
2023-11-28,43.69,44.38,43.66,44.23,44.23,24548900
2023-11-29,44.6,45.34,44.6,44.94,44.94,38982000
2023-11-30,44.65,45.09,44.41,44.7,44.7,46263000
2023-12-01,44.36,44.36,42.86,43.74,43.74,43922500
2023-12-04,43.3,43.31,41.69,42.35,42.35,50417600
2023-12-05,41.91,42.29,41.61,41.92,41.92,31859300
2023-12-06,42.48,42.59,41.17,41.27,41.27,31992300
2023-12-07,41.75,42.44,41.18,42.15,42.15,29118700
2023-12-08,41.84,42.96,41.81,42.7,42.7,42805900
2023-12-11,43.16,44.73,43.08,44.54,44.54,48288200
2023-12-12,44.36,44.44,43.63,44.04,44.04,31452200
2023-12-13,44.08,44.72,43.33,44.57,44.57,35216100
2023-12-14,45.01,47.07,44.65,45.18,45.18,70620800
2023-12-15,45.94,47.27,45.67,46.16,46.16,84553800
2023-12-18,46.15,46.23,45.4,45.69,45.69,27895700
2023-12-19,45.6,46.68,45.51,46.66,46.66,35358800
2023-12-20,46.64,46.95,45.7,45.76,45.76,38159100
2023-12-21,46.48,47.12,46.02,47.08,47.08,28320500
2023-12-22,47.25,48.16,47.2,48.0,48.0,30053700
2023-12-26,48.92,50.52,48.71,50.5,50.5,60287400
2023-12-27,50.63,51.28,50.19,50.76,50.76,52148000
2023-12-28,50.81,50.87,50.16,50.39,50.39,27705200
2023-12-29,50.3,50.57,49.77,50.25,50.25,29266500
