Date,Open,High,Low,Close,Adj Close,Volume
2023-09-01,564.8,569.98,558.52,563.21,563.21,2232300
2023-09-05,557.88,567.59,555.42,564.88,564.88,2349700
2023-09-06,560.45,564.06,555.85,561.94,561.94,2299900
2023-09-07,554.0,561.83,551.08,560.46,560.46,2089400
2023-09-08,568.9,570.24,558.03,560.36,560.36,2262000
2023-09-11,562.0,565.43,556.7,564.5,564.5,2083300
2023-09-12,555.63,559.09,540.37,542.21,542.21,3961300
2023-09-13,557.02,559.85,546.43,553.56,553.56,3465200
2023-09-14,551.09,555.19,544.34,552.16,552.16,4786900
2023-09-15,532.11,537.69,523.62,528.89,528.89,9769000
2023-09-18,524.23,533.98,522.18,532.42,532.42,2650700
2023-09-19,531.35,542.4,529.47,541.69,541.69,2385800
2023-09-20,541.69,548.85,535.73,535.78,535.78,2626000
2023-09-21,519.48,526.29,513.4,513.88,513.88,3844600
2023-09-22,513.09,518.15,508.83,512.9,512.9,2702100
2023-09-25,511.45,514.25,507.22,511.6,511.6,2219500
2023-09-26,510.14,510.14,502.01,506.3,506.3,2375400
2023-09-27,507.51,509.25,498.7,502.6,502.6,3311100
2023-09-28,500.0,508.68,499.25,504.67,504.67,2720000
2023-09-29,505.44,518.58,505.44,509.9,509.9,2795900
2023-10-02,508.24,522.41,508.24,521.13,521.13,2411500
2023-10-03,517.52,520.49,504.55,507.03,507.03,2004100
2023-10-04,511.93,519.76,510.0,518.42,518.42,2027200
2023-10-05,519.84,522.61,509.24,516.44,516.44,1818800
2023-10-06,513.22,531.31,509.52,526.68,526.68,2523300
2023-10-09,522.0,530.0,518.75,529.29,529.29,1713500
2023-10-10,530.91,537.0,530.4,532.72,532.72,2090900
2023-10-11,538.59,551.34,536.11,549.91,549.91,3307500
2023-10-12,553.7,574.4,552.23,559.63,559.63,4624000
2023-10-13,560.0,562.89,546.99,548.76,548.76,2832600
2023-10-16,553.18,555.57,545.69,550.74,550.74,2179700
2023-10-17,545.41,560.8,543.34,560.09,560.09,2355300
2023-10-18,554.48,568.18,554.24,557.87,557.87,2614500
2023-10-19,560.0,567.1,553.47,555.74,555.74,2809300
2023-10-20,555.74,555.98,535.95,540.96,540.96,2728100
2023-10-23,535.81,548.03,531.0,540.41,540.41,2172600
2023-10-24,544.64,546.0,532.12,539.56,539.56,2358100
2023-10-25,533.56,534.46,517.63,521.14,521.14,2526000
2023-10-26,530.0,530.99,511.68,514.28,514.28,2876700
2023-10-27,517.5,519.86,506.92,508.12,508.12,2985600
2023-10-30,516.11,530.75,512.24,526.94,526.94,2806900
2023-10-31,530.64,532.64,522.81,532.06,532.06,2052300
2023-11-01,535.0,545.27,534.0,544.5,544.5,2644500
2023-11-02,550.44,559.36,550.0,558.71,558.71,2634800
2023-11-03,560.0,567.03,557.66,563.66,563.66,2066300
2023-11-06,566.0,567.88,558.17,565.45,565.45,2593400
2023-11-07,568.81,589.0,568.81,585.2,585.2,3993600
2023-11-08,589.0,595.67,581.07,585.31,585.31,3079200
2023-11-09,587.51,590.04,576.34,577.74,577.74,2336600
2023-11-10,580.49,598.14,576.01,597.22,597.22,3062700
2023-11-13,589.98,594.26,583.36,590.34,590.34,2505100
2023-11-14,601.56,613.71,599.04,604.33,604.33,2884900
2023-11-15,605.0,605.73,591.79,595.31,595.31,3088900
2023-11-16,595.45,605.27,592.14,602.06,602.06,2040400
2023-11-17,602.07,605.05,597.02,602.66,602.66,1968500
2023-11-20,605.31,614.2,604.5,612.7,612.7,2393900
2023-11-21,610.63,615.57,607.03,610.99,610.99,1906200
2023-11-22,616.63,624.38,614.01,619.72,619.72,2064400
2023-11-24,616.26,619.44,613.6,619.43,619.43,942700
2023-11-27,618.8,625.83,614.57,619.27,619.27,1854400
2023-11-28,613.98,625.6,612.26,623.32,623.32,2302900
2023-11-29,625.94,628.6,616.77,617.39,617.39,2595600
2023-11-30,620.0,621.48,605.07,611.01,611.01,3960300
2023-12-01,609.24,615.2,603.18,612.47,612.47,2490000
2023-12-04,604.91,608.29,596.21,604.56,604.56,2541500
2023-12-05,596.77,602.74,591.17,602.22,602.22,2577700
2023-12-06,608.06,608.53,594.49,595.7,595.7,2080400
2023-12-07,598.92,609.23,596.47,608.78,608.78,2605200
2023-12-08,605.0,610.23,601.3,610.01,610.01,2498800
2023-12-11,616.88,627.82,614.34,625.2,625.2,3270600
2023-12-12,625.86,633.89,623.0,633.66,633.66,2968900
2023-12-13,630.41,632.45,618.03,624.26,624.26,6188500
2023-12-14,593.0,593.16,578.3,584.64,584.64,11315300
2023-12-15,580.6,591.66,578.2,584.68,584.68,8663700
2023-12-18,591.52,603.13,586.62,599.13,599.13,5452000
2023-12-19,600.0,612.71,598.08,604.64,604.64,4150700
2023-12-20,600.71,610.68,595.07,596.06,596.06,2587300
