Date,Open,High,Low,Close,Adj Close,Volume
2022-03-17,201.7,208.04,201.11,207.84,207.84,29499700
2022-03-18,206.7,216.8,206.0,216.49,216.49,52128000
2022-03-21,214.5,214.71,207.63,211.49,211.49,30142300
2022-03-22,211.37,219.46,210.18,216.65,216.65,31998800
2022-03-23,213.33,216.8,212.16,213.46,213.46,23717300
2022-03-24,215.0,220.67,214.79,219.57,219.57,31502300
2022-03-25,220.51,225.5,218.89,221.82,221.82,40039000
2022-03-28,222.13,224.04,219.54,223.59,223.59,26224100
2022-03-29,226.07,230.89,225.29,229.86,229.86,31417900
2022-03-30,228.91,231.15,226.71,227.85,227.85,25588000
2022-03-31,228.45,228.49,222.26,222.36,222.36,24192300
2022-04-01,224.55,227.28,222.7,224.85,224.85,19544800
2022-04-04,225.98,234.35,225.86,233.89,233.89,28054800
2022-04-05,234.08,236.86,231.02,231.84,231.84,29727200
2022-04-06,226.91,228.99,221.41,223.3,223.3,28995100
2022-04-07,223.93,225.52,218.56,222.95,222.95,21037200
2022-04-08,222.38,225.13,220.03,222.33,222.33,18375700
2022-04-11,218.42,220.61,215.22,216.46,216.46,20516600
2022-04-12,220.24,222.03,213.13,214.14,214.14,20128800
2022-04-13,211.82,216.61,211.33,214.99,214.99,19231800
2022-04-14,214.89,214.99,210.0,210.18,210.18,18379500
2022-04-18,210.0,213.38,208.3,210.77,210.77,16580800
2022-04-19,210.52,218.43,209.0,217.31,217.31,20089900
2022-04-20,213.61,214.16,198.92,200.42,200.42,43036500
2022-04-21,201.6,202.97,185.58,188.07,188.07,49954100
2022-04-22,190.37,192.72,183.27,184.11,184.11,36426800
2022-04-25,182.73,187.18,181.66,186.99,186.99,29281100
2022-04-26,186.63,187.19,179.5,180.95,180.95,31747400
2022-04-27,174.43,181.21,169.0,174.95,174.95,71062900
2022-04-28,202.92,208.53,192.9,205.73,205.73,100890600
2022-04-29,204.46,212.48,199.9,200.47,200.47,49193400
2022-05-02,201.17,211.88,200.99,211.13,211.13,49915300
2022-05-03,210.45,214.9,208.09,212.03,212.03,41556300
2022-05-04,210.65,224.3,206.96,223.41,223.41,41375900
2022-05-05,218.74,220.17,206.16,208.28,208.28,41129200
2022-05-06,207.34,209.38,201.02,203.77,203.77,34747200
2022-05-09,199.84,202.57,195.58,196.21,196.21,36303200
2022-05-10,199.51,202.96,194.19,197.65,197.65,34452500
2022-05-11,196.33,200.67,188.27,188.74,188.74,31153400
2022-05-12,187.06,198.05,184.78,191.24,191.24,38262200
2022-05-13,192.58,199.89,191.28,198.62,198.62,24549800
2022-05-16,197.05,205.37,195.93,200.04,200.04,27112600
2022-05-17,202.12,205.46,198.36,202.62,202.62,24872700
2022-05-18,200.0,201.0,191.63,192.24,192.24,23960000
2022-05-19,191.2,195.29,189.6,191.29,191.29,24446900
2022-05-20,194.97,197.91,187.87,193.54,193.54,31465600
2022-05-23,195.19,196.99,191.24,196.23,196.23,25059200
2022-05-24,180.55,183.68,176.11,181.28,181.28,50406300
2022-05-25,180.4,185.45,179.32,183.83,183.83,28030200
2022-05-26,182.88,192.83,182.26,191.63,191.63,23056500
2022-05-27,191.36,195.33,189.8,195.13,195.13,22562700
2022-05-31,194.89,197.6,192.01,193.64,193.64,26131100
2022-06-01,196.51,199.53,185.0,188.64,188.64,36623500
2022-06-02,188.45,200.94,187.73,198.86,198.86,31951600
2022-06-03,195.98,196.61,189.78,190.78,190.78,19465000
2022-06-06,193.99,196.92,188.4,194.25,194.25,30574200
2022-06-07,191.93,196.53,191.49,195.65,195.65,18828700
2022-06-08,194.67,202.03,194.41,196.64,196.64,22267200
2022-06-09,194.28,199.45,183.68,184.0,184.0,23501600
2022-06-10,183.04,183.1,175.02,175.57,175.57,27450800
2022-06-13,170.59,172.58,164.03,164.26,164.26,31749300
2022-06-14,166.03,166.75,161.36,163.73,163.73,27244300
2022-06-15,167.2,172.16,163.98,169.35,169.35,30008300
2022-06-16,163.72,165.08,159.61,160.87,160.87,26944100
2022-06-17,161.68,165.9,159.9,163.74,163.74,31374200
2022-06-21,165.93,167.76,155.97,157.05,157.05,50724900
2022-06-22,158.38,160.79,155.44,155.85,155.85,47267800
2022-06-23,156.27,159.75,154.25,158.75,158.75,40499200
2022-06-24,161.73,170.25,161.3,170.16,170.16,68736000
2022-06-27,171.32,171.75,168.01,169.49,169.49,29174600
2022-06-28,169.9,171.3,160.61,160.68,160.68,27744500
2022-06-29,163.57,166.33,160.32,163.94,163.94,28595200
2022-06-30,162.15,165.23,158.49,161.25,161.25,35250600
2022-07-01,160.31,160.62,155.0,160.03,160.03,31423900
2022-07-05,158.14,168.25,157.02,168.19,168.19,28618600
2022-07-06,168.2,171.59,165.46,169.77,169.77,23085900
2022-07-07,169.45,172.72,167.78,172.19,172.19,24083400
2022-07-08,169.98,172.4,168.15,170.88,170.88,19249200
2022-07-11,167.07,167.49,161.91,162.88,162.88,21885600
2022-07-12,164.8,165.91,162.1,163.27,163.27,16639700
2022-07-13,160.16,164.98,159.61,163.49,163.49,16555100
2022-07-14,161.22,162.59,157.28,158.05,158.05,23765200
2022-07-15,160.54,164.98,159.82,164.7,164.7,23342800
2022-07-18,166.75,171.69,165.64,167.23,167.23,23574300
2022-07-19,170.37,176.49,169.51,175.78,175.78,25933700
2022-07-20,177.49,183.6,176.7,183.09,183.09,24784300
2022-07-21,180.63,183.85,178.87,183.17,183.17,27195800
2022-07-22,173.07,175.6,168.41,169.27,169.27,42583900
2022-07-25,169.0,170.57,164.81,166.65,166.65,26166300
2022-07-26,165.94,166.0,157.95,159.15,159.15,28468400
2022-07-27,162.59,170.87,162.02,169.58,169.58,43846600
2022-07-28,161.06,161.51,154.85,160.72,160.72,73214300
2022-07-29,157.69,160.14,155.17,159.1,159.1,42065400
2022-08-01,157.25,165.19,155.23,159.93,159.93,40596700
2022-08-02,158.31,162.24,158.01,160.19,160.19,27374500
2022-08-03,162.69,169.54,161.57,168.8,168.8,31721900
2022-08-04,168.3,172.15,166.8,170.57,170.57,23938200
