Date,Open,High,Low,Close,Adj Close,Volume
2023-09-01,556.32,559.21,553.51,557.11,555.109,2030000
2023-09-05,559.23,561.93,556.71,558.19,556.186,2257200
2023-09-06,561.02,561.59,552.7,559.95,557.939,2424300
2023-09-07,564.19,576.31,562.62,573.23,571.172,3707100
2023-09-08,572.33,587.55,571.22,586.46,584.354,4308300
2023-09-11,587.15,598.16,584.48,595.56,593.422,3876500
2023-09-12,590.97,601.13,587.85,599.3,597.148,3212100
2023-09-13,594.66,600.75,591.7,598.88,596.729,3126600
2023-09-14,599.24,601.84,590.01,591.61,589.486,3244800
2023-09-15,592.0,594.06,575.06,575.66,573.593,5938300
2023-09-18,578.0,578.0,564.41,571.28,569.229,2723600
2023-09-19,571.62,578.41,570.63,574.96,572.895,2185100
2023-09-20,573.42,575.25,569.19,569.64,567.595,1869900
2023-09-21,567.19,568.0,542.5,550.13,548.155,4049900
2023-09-22,548.81,555.49,547.63,550.54,548.563,2353800
2023-09-25,550.1,552.66,545.75,552.29,550.307,1686500
2023-09-26,550.7,554.13,548.0,550.01,548.035,1864300
2023-09-27,549.89,551.69,543.67,549.76,547.786,2004200
2023-09-28,551.32,551.68,541.4,544.45,542.495,2178800
2023-09-29,545.49,546.09,532.2,537.13,535.201,2967100
2023-10-02,536.01,540.64,526.81,538.29,536.357,2810100
2023-10-03,536.0,537.34,516.57,525.19,523.304,3266100
2023-10-04,525.56,536.17,523.63,531.46,529.552,2220400
2023-10-05,533.54,542.5,531.61,541.48,539.536,2950700
2023-10-06,544.0,566.36,542.71,565.22,563.19,4743100
2023-10-09,564.02,579.79,563.58,571.76,569.707,4208100
2023-10-10,570.0,585.95,569.73,579.31,577.23,3526700
2023-10-11,596.2,608.79,585.01,605.28,603.107,5850600
2023-10-12,605.46,613.0,602.2,610.5,608.308,4063500
2023-10-13,617.89,629.97,602.56,609.2,607.012,3963800
2023-10-16,610.99,621.98,608.43,616.64,614.426,2941500
2023-10-17,619.0,620.4,602.53,608.31,606.126,2911700
2023-10-18,607.24,615.88,603.24,607.24,605.06,2049100
2023-10-19,605.0,605.0,578.34,590.8,588.679,3493700
2023-10-20,590.0,596.92,580.88,584.64,582.541,3666500
2023-10-23,586.06,588.34,576.14,576.65,574.579,2781900
2023-10-24,580.0,594.52,579.11,592.43,590.303,2633000
2023-10-25,596.94,599.7,585.87,586.46,584.354,2283300
2023-10-26,580.0,581.0,566.16,568.1,566.06,2846500
2023-10-27,563.01,570.81,556.64,560.23,558.218,2717400
2023-10-30,571.21,573.21,562.55,565.71,563.679,2290900
2023-10-31,568.97,569.61,547.61,553.93,551.941,3661400
2023-11-01,555.0,558.43,551.26,554.46,552.469,2935900
2023-11-02,578.33,597.44,571.99,580.29,578.206,5181300
2023-11-03,578.43,583.0,567.18,567.81,565.771,3055400
2023-11-06,571.1,597.71,571.01,595.19,593.053,3978500
2023-11-07,597.0,601.94,590.13,599.93,597.776,3168200
2023-11-08,607.66,625.87,592.18,619.13,616.907,7776400
2023-11-09,614.76,615.65,583.43,591.32,589.197,6279800
2023-11-10,595.0,598.86,586.0,597.71,595.564,3645900
2023-11-13,594.35,618.75,578.15,612.71,610.51,5744800
2023-11-14,608.22,616.04,602.67,610.82,609.751,3827600
2023-11-15,610.88,612.91,584.42,588.54,587.51,4287000
2023-11-16,591.5,595.09,581.75,588.75,587.72,3030500
2023-11-17,592.45,596.18,587.21,591.71,590.675,2628200
2023-11-20,591.44,604.86,590.69,597.6,596.554,2827200
2023-11-21,598.44,601.56,591.77,592.6,591.563,1851600
2023-11-22,595.4,599.18,586.75,595.09,594.049,2052200
2023-11-24,598.36,603.5,596.98,601.1,600.048,1341700
2023-11-27,601.17,603.69,591.14,591.53,590.495,2630700
2023-11-28,592.0,595.38,589.36,591.6,590.565,1793900
2023-11-29,592.2,594.54,584.44,591.86,590.824,1908600
2023-11-30,591.46,596.23,586.21,591.04,590.006,5658400
2023-12-01,591.7,601.97,583.0,584.04,583.018,3635900
2023-12-04,582.13,587.09,574.33,585.68,584.655,2577100
2023-12-05,583.28,591.8,579.37,588.15,587.121,2157300
2023-12-06,590.74,593.9,584.4,589.25,588.219,2093100
2023-12-07,588.28,588.87,577.61,588.27,587.241,2095000
2023-12-08,589.0,598.3,584.77,598.05,597.004,2444600
2023-12-11,598.66,601.19,567.41,584.04,583.018,5614100
2023-12-12,582.0,585.85,578.17,584.76,583.737,2846100
2023-12-13,583.26,598.67,582.31,597.5,596.455,3112500
2023-12-14,594.5,594.5,568.69,573.67,572.666,5275900
2023-12-15,572.1,573.71,561.65,572.04,571.039,5315900
2023-12-18,576.47,583.05,575.7,579.76,578.746,3033900
2023-12-19,580.25,585.11,577.25,579.81,578.795,2192700
2023-12-20,576.48,579.86,570.03,570.21,569.212,2647100
2023-12-21,571.41,575.0,567.02,572.0,570.999,1786500
2023-12-22,573.02,575.9,567.42,570.39,569.392,2225600
2023-12-26,569.5,572.77,567.64,570.67,569.671,1678700
2023-12-27,570.5,583.68,570.5,581.51,580.492,2163400
2023-12-28,581.98,586.69,580.0,580.85,579.834,1973500
2023-12-29,582.85,586.17,579.47,582.92,581.9,1998000
2024-01-02,580.41,592.72,579.05,592.2,591.164,3226700
2024-01-03,600.0,619.84,598.8,617.7,616.619,5130300
2024-01-04,625.26,636.41,613.27,614.5,613.425,6272500
2024-01-05,614.0,619.94,610.19,618.55,617.468,2402500
2024-01-08,622.43,626.06,609.59,626.03,624.935,2453900
2024-01-09,630.11,634.42,623.72,625.48,624.386,2918900
2024-01-10,628.49,637.05,625.76,630.19,629.087,2679100
2024-01-11,634.39,639.76,628.14,635.72,634.608,2690300
2024-01-12,638.2,644.0,633.01,642.92,641.795,2066400
2024-01-16,643.91,647.73,633.67,634.57,633.46,2413600
2024-01-17,639.45,640.52,625.19,628.91,627.81,2124100
2024-01-18,621.28,623.88,612.7,623.35,622.259,3385000
2024-01-19,622.39,629.59,620.0,628.58,627.48,3120500
2024-01-22,630.0,632.64,625.0,630.88,629.776,2030200
2024-01-23,627.69,630.0,614.82,629.68,628.578,2525000
2024-01-24,633.52,643.17,632.0,633.7,632.591,2276900
2024-01-25,627.37,632.61,624.68,627.62,626.522,2407900
2024-01-26,637.35,639.6,630.5,639.25,638.131,2410300
2024-01-29,641.5,645.65,639.77,645.0,643.871,2718500
2024-01-30,645.7,646.8,641.0,644.98,643.851,2006100
2024-01-31,650.38,663.55,637.0,645.61,644.48,4719000
2024-02-01,647.33,660.52,643.17,660.43,659.274,2494300
2024-02-02,662.38,672.62,659.74,667.65,666.482,3018000
2024-02-05,691.02,711.88,682.53,706.2,704.964,7602400
2024-02-06,742.0,742.0,691.1,705.03,703.796,8187300
2024-02-07,710.38,740.99,707.02,725.38,724.111,5798000
2024-02-08,728.32,741.0,725.75,735.68,734.393,4636900
2024-02-09,735.5,745.7,733.61,740.16,738.865,2833900
2024-02-12,740.8,740.8,726.45,737.26,735.97,2932300
2024-02-13,730.18,742.98,730.18,742.97,741.67,2860300
2024-02-14,745.82,764.05,745.0,757.31,757.31,3394300
2024-02-15,755.8,762.99,750.01,757.78,757.78,2507000
2024-02-16,771.03,794.47,763.5,782.06,782.06,5000700
2024-02-20,790.0,793.38,753.2,755.66,755.66,4701100
2024-02-21,738.08,749.5,733.24,745.91,745.91,3548700
2024-02-22,763.58,775.12,756.27,769.64,769.64,3167400
2024-02-23,774.0,777.65,762.26,769.54,769.54,2394800
2024-02-26,771.3,780.22,769.12,771.92,771.92,2243800
2024-02-27,754.9,772.95,745.44,765.0,765.0,2716700
2024-02-28,762.25,763.0,751.66,757.64,757.64,2716300
2024-02-29,753.08,756.46,744.03,753.68,753.68,3905400
2024-03-01,769.02,784.08,764.13,782.12,782.12,4240500
